"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2011"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.634","0.120","0.168","0.048","0.010","<.01","0.022","1.000","1"
"Alabama","0.669","0.264","0.039","0.011","<.01","N/A","0.013","1.000"
"Alaska","0.633","0.029","0.058","0.055","0.140","0.010","0.075","1.000"
"Arizona","0.575","0.037","0.300","0.027","0.041","<.01","0.018","1.000"
"Arkansas","0.745","0.154","0.065","0.012","0.010","<.01","0.016","1.000"
"California","0.395","0.055","0.382","0.131","<.01","<.01","0.028","1.000"
"Colorado","0.699","0.036","0.209","0.027","0.010","<.01","0.022","1.000"
"Connecticut","0.709","0.094","0.138","0.039","<.01","N/A","0.019","1.000"
"Delaware","0.653","0.206","0.085","0.033","<.01","N/A","0.021","1.000"
"District of Columbia","0.343","0.502","0.098","0.034","<.01","N/A","0.021","1.000"
"Florida","0.575","0.151","0.230","0.024","<.01","<.01","0.018","1.000"
"Georgia","0.557","0.300","0.090","0.033","<.01","N/A","0.018","1.000"
"Hawaii","0.219","0.014","0.091","0.384","N/A","0.089","0.202","1.000"
"Idaho","0.839","0.010","0.113","0.012","0.012","N/A","0.019","1.000"
"Illinois","0.632","0.141","0.163","0.047","<.01","N/A","0.016","1.000"
"Indiana","0.814","0.087","0.061","0.015","<.01","N/A","0.020","1.000"
"Iowa","0.886","0.026","0.050","0.018","<.01","N/A","0.017","1.000"
"Kansas","0.780","0.054","0.107","0.022","0.010","N/A","0.031","1.000"
"Kentucky","0.864","0.077","0.030","0.011","<.01","N/A","0.017","1.000"
"Louisiana","0.605","0.316","0.043","0.016","0.010","N/A","0.014","1.000"
"Maine","0.945","0.011","0.011","0.012","0.010","N/A","0.016","1.000"
"Maryland","0.543","0.290","0.084","0.057","<.01","<.01","0.024","1.000"
"Massachusetts","0.759","0.061","0.099","0.056","<.01","N/A","0.024","1.000"
"Michigan","0.766","0.138","0.045","0.024","0.010","N/A","0.022","1.000"
"Minnesota","0.829","0.049","0.048","0.040","0.010","N/A","0.024","1.000"
"Mississippi","0.581","0.373","0.025","0.010","<.01","N/A","0.010","1.000"
"Missouri","0.811","0.111","0.035","0.016","<.01","N/A","0.024","1.000"
"Montana","0.876","N/A","0.029","0.010","0.066","N/A","0.020","1.000"
"Nebraska","0.819","0.041","0.094","0.018","0.010","N/A","0.019","1.000"
"Nevada","0.535","0.076","0.272","0.071","0.010","0.010","0.031","1.000"
"New Hampshire","0.922","0.010","0.028","0.023","<.01","N/A","0.017","1.000"
"New Jersey","0.587","0.124","0.182","0.084","<.01","N/A","0.020","1.000"
"New Mexico","0.401","0.016","0.469","0.011","0.086","N/A","0.017","1.000"
"New York","0.579","0.143","0.181","0.074","<.01","<.01","0.021","1.000"
"North Carolina","0.651","0.211","0.086","0.022","0.011","<.01","0.018","1.000"
"North Dakota","0.887","0.010","0.022","0.010","0.054","N/A","0.020","1.000"
"Ohio","0.812","0.118","0.031","0.017","<.01","<.01","0.021","1.000"
"Oklahoma","0.684","0.070","0.092","0.016","0.068","<.01","0.068","1.000"
"Oregon","0.780","0.017","0.121","0.038","0.011","<.01","0.030","1.000"
"Pennsylvania","0.795","0.101","0.058","0.028","<.01","N/A","0.017","1.000"
"Rhode Island","0.761","0.050","0.130","0.029","<.01","N/A","0.027","1.000"
"South Carolina","0.642","0.276","0.051","0.013","<.01","N/A","0.015","1.000"
"South Dakota","0.846","0.011","0.028","0.010","0.086","N/A","0.020","1.000"
"Tennessee","0.756","0.165","0.046","0.014","<.01","N/A","0.017","1.000"
"Texas","0.447","0.112","0.384","0.039","<.01","<.01","0.015","1.000"
"Utah","0.800","0.010","0.132","0.020","0.010","0.010","0.020","1.000"
"Vermont","0.944","0.010","0.012","0.013","<.01","N/A","0.020","1.000"
"Virginia","0.646","0.189","0.080","0.057","<.01","<.01","0.026","1.000"
"Washington","0.721","0.033","0.116","0.074","0.012","0.010","0.040","1.000"
"West Virginia","0.936","0.029","0.010","0.010","<.01","N/A","0.018","1.000"
"Wisconsin","0.833","0.059","0.060","0.023","0.010","N/A","0.017","1.000"
"Wyoming","0.858","0.010","0.090","0.010","0.018","N/A","0.018","1.000"
"Puerto Rico","0.010","N/A","0.991","N/A","N/A","N/A","<.01","1.000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
