"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2014"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.620","0.121","0.174","0.052","0.010","<.01","0.024","1.000","1"
"Alabama","0.664","0.263","0.039","0.012","<.01","N/A","0.018","1.000"
"Alaska","0.620","0.030","0.066","0.061","0.139","0.012","0.074","1.000"
"Arizona","0.564","0.039","0.305","0.031","0.039","<.01","0.021","1.000"
"Arkansas","0.736","0.153","0.070","0.012","0.010","<.01","0.020","1.000"
"California","0.383","0.054","0.388","0.139","<.01","<.01","0.031","1.000"
"Colorado","0.690","0.037","0.212","0.029","0.010","<.01","0.025","1.000"
"Connecticut","0.688","0.095","0.151","0.042","<.01","N/A","0.022","1.000"
"Delaware","0.639","0.210","0.089","0.039","<.01","N/A","0.019","1.000"
"District of Columbia","0.354","0.482","0.105","0.036","<.01","N/A","0.021","1.000"
"Florida","0.557","0.153","0.243","0.026","<.01","<.01","0.020","1.000"
"Georgia","0.545","0.306","0.092","0.037","<.01","<.01","0.019","1.000"
"Hawaii","0.217","0.017","0.099","0.374","N/A","0.097","0.196","1.000"
"Idaho","0.829","0.010","0.121","0.014","0.010","N/A","0.021","1.000"
"Illinois","0.623","0.138","0.168","0.051","<.01","<.01","0.017","1.000"
"Indiana","0.805","0.091","0.065","0.019","<.01","N/A","0.019","1.000"
"Iowa","0.873","0.033","0.055","0.021","<.01","N/A","0.014","1.000"
"Kansas","0.770","0.054","0.114","0.025","0.010","N/A","0.030","1.000"
"Kentucky","0.858","0.075","0.033","0.012","<.01","N/A","0.021","1.000"
"Louisiana","0.596","0.319","0.047","0.017","0.010","N/A","0.016","1.000"
"Maine","0.938","0.012","0.012","0.010","0.010","N/A","0.023","1.000"
"Maryland","0.525","0.291","0.094","0.062","<.01","N/A","0.027","1.000"
"Massachusetts","0.740","0.065","0.108","0.060","<.01","N/A","0.026","1.000"
"Michigan","0.760","0.136","0.048","0.028","0.010","N/A","0.023","1.000"
"Minnesota","0.815","0.056","0.051","0.047","0.010","<.01","0.023","1.000"
"Mississippi","0.576","0.375","0.025","0.010","<.01","N/A","0.013","1.000"
"Missouri","0.802","0.114","0.038","0.017","<.01","<.01","0.025","1.000"
"Montana","0.870","0.010","0.033","0.010","0.067","N/A","0.017","1.000"
"Nebraska","0.806","0.046","0.101","0.019","0.010","N/A","0.022","1.000"
"Nevada","0.514","0.080","0.279","0.077","0.010","0.010","0.035","1.000"
"New Hampshire","0.913","0.011","0.032","0.025","N/A","N/A","0.018","1.000"
"New Jersey","0.568","0.125","0.194","0.092","<.01","N/A","0.019","1.000"
"New Mexico","0.387","0.017","0.478","0.015","0.089","N/A","0.014","1.000"
"New York","0.564","0.143","0.187","0.081","<.01","<.01","0.023","1.000"
"North Carolina","0.641","0.213","0.090","0.024","0.010","<.01","0.021","1.000"
"North Dakota","0.870","0.020","0.024","0.010","0.063","N/A","0.013","1.000"
"Ohio","0.803","0.120","0.034","0.019","<.01","N/A","0.024","1.000"
"Oklahoma","0.672","0.070","0.098","0.020","0.073","N/A","0.067","1.000"
"Oregon","0.770","0.017","0.125","0.040","0.010","<.01","0.037","1.000"
"Pennsylvania","0.781","0.104","0.065","0.031","<.01","N/A","0.018","1.000"
"Rhode Island","0.741","0.054","0.142","0.032","<.01","N/A","0.026","1.000"
"South Carolina","0.641","0.271","0.053","0.014","<.01","N/A","0.019","1.000"
"South Dakota","0.836","0.015","0.033","0.010","0.079","N/A","0.026","1.000"
"Tennessee","0.748","0.165","0.049","0.016","<.01","<.01","0.020","1.000"
"Texas","0.435","0.114","0.388","0.043","<.01","<.01","0.017","1.000"
"Utah","0.794","0.010","0.134","0.023","0.010","0.010","0.021","1.000"
"Vermont","0.934","0.010","0.015","0.020","0.010","N/A","0.016","1.000"
"Virginia","0.631","0.187","0.088","0.062","<.01","<.01","0.029","1.000"
"Washington","0.703","0.033","0.122","0.078","0.011","0.010","0.047","1.000"
"West Virginia","0.929","0.035","0.012","0.010","<.01","N/A","0.016","1.000"
"Wisconsin","0.824","0.059","0.064","0.026","0.010","N/A","0.019","1.000"
"Wyoming","0.843","0.011","0.097","0.010","0.019","N/A","0.019","1.000"
"Puerto Rico","0.010","<.01","0.991","N/A","N/A","N/A","<.01","1.000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
