"Title: Population Distribution by Race/Ethnicity | KFF"
"Timeframe: 2013"
"Location","White","Black","Hispanic","Asian","American Indian/Alaska Native","Native Hawaiian/Other Pacific Islander","Multiple Races","Total",Footnotes
"United States","0.626","0.121","0.172","0.050","0.010","<.01","0.024","1.000","1"
"Alabama","0.666","0.262","0.039","0.011","<.01","N/A","0.017","1.000"
"Alaska","0.625","0.034","0.063","0.050","0.138","0.014","0.076","1.000"
"Arizona","0.568","0.039","0.302","0.029","0.039","<.01","0.022","1.000"
"Arkansas","0.738","0.154","0.069","0.012","0.010","N/A","0.021","1.000"
"California","0.389","0.055","0.385","0.136","<.01","<.01","0.029","1.000"
"Colorado","0.694","0.036","0.211","0.029","0.010","<.01","0.026","1.000"
"Connecticut","0.695","0.096","0.146","0.041","<.01","N/A","0.021","1.000"
"Delaware","0.643","0.205","0.089","0.038","<.01","N/A","0.022","1.000"
"District of Columbia","0.351","0.486","0.104","0.031","N/A","N/A","0.026","1.000"
"Florida","0.563","0.152","0.238","0.026","<.01","<.01","0.019","1.000"
"Georgia","0.549","0.304","0.091","0.035","<.01","<.01","0.019","1.000"
"Hawaii","0.217","0.015","0.096","0.383","N/A","0.089","0.199","1.000"
"Idaho","0.833","<.01","0.118","0.016","0.010","N/A","0.018","1.000"
"Illinois","0.628","0.138","0.166","0.049","<.01","<.01","0.018","1.000"
"Indiana","0.807","0.088","0.065","0.018","<.01","N/A","0.021","1.000"
"Iowa","0.876","0.032","0.054","0.020","<.01","N/A","0.015","1.000"
"Kansas","0.773","0.056","0.111","0.024","0.010","N/A","0.028","1.000"
"Kentucky","0.860","0.076","0.032","0.012","<.01","N/A","0.018","1.000"
"Louisiana","0.599","0.318","0.046","0.016","0.010","N/A","0.015","1.000"
"Maine","0.941","0.010","0.013","0.010","0.010","N/A","0.021","1.000"
"Maryland","0.532","0.289","0.091","0.060","<.01","N/A","0.026","1.000"
"Massachusetts","0.748","0.063","0.106","0.056","<.01","N/A","0.026","1.000"
"Michigan","0.762","0.136","0.047","0.027","<.01","N/A","0.024","1.000"
"Minnesota","0.820","0.053","0.048","0.045","0.011","N/A","0.024","1.000"
"Mississippi","0.576","0.376","0.025","0.010","<.01","N/A","0.010","1.000"
"Missouri","0.806","0.112","0.038","0.017","<.01","N/A","0.024","1.000"
"Montana","0.874","N/A","0.032","0.010","0.064","N/A","0.021","1.000"
"Nebraska","0.809","0.046","0.099","0.018","0.010","N/A","0.021","1.000"
"Nevada","0.522","0.079","0.276","0.077","0.010","0.010","0.031","1.000"
"New Hampshire","0.917","0.010","0.031","0.024","<.01","N/A","0.018","1.000"
"New Jersey","0.575","0.124","0.190","0.090","<.01","N/A","0.020","1.000"
"New Mexico","0.394","0.016","0.473","0.013","0.087","N/A","0.017","1.000"
"New York","0.570","0.142","0.184","0.079","<.01","<.01","0.023","1.000"
"North Carolina","0.645","0.210","0.088","0.025","0.011","N/A","0.021","1.000"
"North Dakota","0.874","0.016","0.023","0.010","0.056","N/A","0.021","1.000"
"Ohio","0.806","0.118","0.033","0.018","<.01","<.01","0.023","1.000"
"Oklahoma","0.677","0.070","0.096","0.017","0.077","N/A","0.064","1.000"
"Oregon","0.775","0.016","0.123","0.039","0.010","<.01","0.034","1.000"
"Pennsylvania","0.786","0.104","0.063","0.030","<.01","N/A","0.017","1.000"
"Rhode Island","0.746","0.052","0.138","0.030","<.01","N/A","0.031","1.000"
"South Carolina","0.642","0.272","0.052","0.013","<.01","N/A","0.017","1.000"
"South Dakota","0.837","0.016","0.032","0.010","0.082","N/A","0.024","1.000"
"Tennessee","0.751","0.166","0.048","0.015","<.01","<.01","0.018","1.000"
"Texas","0.440","0.113","0.386","0.041","<.01","<.01","0.017","1.000"
"Utah","0.796","0.010","0.133","0.022","0.010","0.010","0.021","1.000"
"Vermont","0.941","0.010","0.015","0.013","<.01","N/A","0.018","1.000"
"Virginia","0.638","0.186","0.086","0.059","<.01","<.01","0.029","1.000"
"Washington","0.710","0.034","0.119","0.077","0.012","0.010","0.042","1.000"
"West Virginia","0.932","0.030","0.012","0.010","N/A","N/A","0.019","1.000"
"Wisconsin","0.826","0.060","0.063","0.024","0.010","N/A","0.018","1.000"
"Wyoming","0.850","0.013","0.088","0.010","0.018","N/A","0.023","1.000"
"Puerto Rico","0.010","<.01","0.991","N/A","N/A","N/A","<.01","1.000"

"Notes"
"For more current data using the Current Population Survey, see [Population Distribution by Race/Ethnicity (CPS)](https://www.kff.org/other/state-indicator/population-distribution-by-race-ethnicity-cps/)."
""
"Population and demographic data on are based on analysis of the Census Bureau’s American Community Survey (ACS) and may differ from other population estimates published yearly by the Census Bureau. U.S. and state population data displayed on this site are restricted to the civilian, non-institutionalized population for whom ACS collects and reports poverty information. "
""
"Population numbers are rounded to the nearest 100."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."

"Definitions"
"*N/A*: Estimates with relative standard errors greater than 30% are not provided."
""
"Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic."


Footnotes
"1. US total excludes Puerto Rico."
